,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
305,Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,41990,,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB DDR5 ,512GB,SSD,Intel UHD Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
306,Asus,VivoBook 15 X1500EA-EJ311W Laptop,31990,,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB DDR4 ,256GB,SSD,Intel Integrated UHD,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
307,Asus,Vivobook 15 X1504ZA-NJ542WS Laptop,51390,60.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4 ,512GB,SSD,Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
308,HP,Pavilion 15-eg3018TU Laptop,76900,,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB DDR4- ,1TB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
309,HP,15s-fq3066TU Laptop,27890,,Intel Celeron N4500,"Dual Core, 2 Threads",8GB DDR4 ,512GB,SSD,Intel Integrated UHD,15.6inches,1366x768pixels,Windows 11 OS,1 Year Warranty
310,Lenovo,IdeaPad 3 82H803HRIN Laptop,56990,60.0,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
311,Asus,Vivobook Pro 15 M6500QC-HN751WS Laptop,73990,64.0,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16GB DDR4 ,1TB,SSD,4GB NVIDIA GeForce RTX 3050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
312,HP,255 G9 841W6PA Laptop,24999,,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1366x768pixels,DOS 3.0 OS,1 Year Warranty
313,Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,84990,69.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB LPDDR5 ,512GB,SSD,Intel Iris Xe Graphics,14inches,3840x2400pixels,Windows 11 OS,1 Year Warranty
314,HP,255 G8 7J035AA Laptop,33999,,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8GB DDR4 ,256GB,SSD,AMD Radeon ,15.6inches,1920x1080pixels,Windows 11  OS,1 Year Warranty
315,Lenovo,IdeaPad Slim 5 16IAH8 83BG000PIN Laptop,61990,63.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB LPDDR5 ,512GB,SSD,Intel UHD Graphics,16inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
316,Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,59990,,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB LPDDR5 ,512GB,SSD,Intel UHD Graphics,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
317,HP,Victus15-fb0147AX Gaming Laptop,47990,62.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8GB DDR4 ,512GB,SSD,4GB AMD Radeon AMD Radeon RX 6500M,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
